,name
276,a voice
277,eddard stark
278,luwin
279,eddard stark
280,catelyn stark
281,eddard stark
282,catelyn stark
283,eddard stark
284,catelyn stark
285,luwin
286,catelyn stark
287,luwin
288,catelyn stark
289,luwin
290,viserys
291,illyrio
292,viserys
293,illyrio
294,viserys
295,illyrio
296,jorah mormont
297,daenerys targaryen
298,jorah mormont
299,illyrio
300,daenerys targaryen
301,daenerys targaryen
302,jorah mormont
303,viserys
304,khal drogo
305,daenerys targaryen
306,daenerys targaryen
307,sandor clegane
308,tyrion lannister
309,sandor clegane
310,tyrion lannister
311,sandor clegane
312,robert baratheon
313,eddard stark
314,robert baratheon
315,eddard stark
316,robert baratheon
317,bran stark
318,cersei lannister
319,jaime lannister
320,cersei lannister
321,jaime lannister
322,cersei lannister
323,jaime lannister
324,bran stark
325,jaime lannister
326,jaime lannister
327,jorah mormont
328,daenerys targaryen
329,jorah mormont
330,doreah
331,irri
332,jorah mormont
333,viserys targaryen
334,jorah mormont
335,viserys targaryen
336,jorah mormont
337,viserys targaryen
338,joffrey lannister
339,tyrion lannister
340,joffrey lannister
341,tyrion lannister
342,joffrey lannister
343,tyrion lannister
344,joffrey lannister
345,tyrion lannister
346,joffrey lannister
347,tyrion lannister
348,sandor clegane
349,tyrion lannister
350,tyrion lannister
351,jaime lannister
352,tyrion lannister
353,myrcella baratheon
354,tyrion lannister
355,cersei lannister
356,tyrion lannister
357,cersei lannister
358,tyrion lannister
359,cersei lannister
360,tyrion lannister
361,jaime lannister
362,tyrion lannister
363,cersei lannister
364,jaime lannister
365,tyrion lannister
366,jaime lannister
367,tyrion lannister
368,cersei lannister
369,catelyn stark
370,cersei lannister
371,catelyn stark
372,cersei lannister
373,catelyn stark
374,cersei lannister
375,jaime lannister
376,jon snow
377,jaime lannister
378,jon snow
379,jaime lannister
380,jon snow
381,jaime lannister
382,jon snow
383,jaime lannister
384,arya stark
385,jon snow
386,arya stark
387,jon snow
388,arya stark
389,jon snow
390,arya stark
391,jon snow
392,arya stark
393,jon snow
394,arya stark
395,jon snow
396,arya stark
397,jon snow
398,arya stark
399,jon snow
400,arya stark
401,jon snow
402,catelyn stark
403,jon snow
404,catelyn stark
405,catelyn stark
406,eddard stark
407,catelyn stark
408,eddard stark
409,robb stark
410,jon snow
411,robb stark
412,jon snow
413,robb stark
414,jon snow
415,robb stark
416,jon snow
417,eddard stark
418,jon snow
419,eddard stark
420,robert baratheon
421,eddard stark
422,robert baratheon
423,eddard stark
424,robert baratheon
425,eddard stark
426,robert baratheon
427,eddard stark
428,robert baratheon
429,eddard stark
430,robert baratheon
431,eddard stark
432,robert baratheon
433,eddard stark
434,robert baratheon
435,eddard stark
436,robert baratheon
437,eddard stark
438,robert baratheon
439,eddard stark
440,robert baratheon
441,eddard stark
442,robert baratheon
443,eddard stark
444,robert baratheon
445,eddard stark
446,robert baratheon
447,benjen stark
448,tyrion lannister
449,jon snow
450,tyrion lannister
451,jon snow
452,tyrion lannister
453,jon snow
454,tyrion lannister
455,jon snow
456,tyrion lannister
457,jon snow
458,tyrion lannister
459,maester luwin
460,catelyn stark
461,maester luwin
462,catelyn stark
463,robb stark
464,maester luwin
465,robb stark
466,catelyn stark
467,robb stark
468,catelyn stark
469,robb stark
470,catelyn stark
471,robb stark
472,assassin
473,catelyn stark
474,daenerys targaryen
475,irri
476,daenerys targaryen
477,irri
478,jhiqui
479,doreah
480,daenerys targaryen
481,doreah
482,irri
483,daenerys targaryen
484,doreah
485,daenerys targaryen
486,doreah
487,daenerys targaryen
488,doreah
489,daenerys targaryen
490,doreah
491,daenerys targaryen
492,doreah
493,benjen stark
494,catelyn stark
495,maester luwin
496,catelyn stark
497,theon greyjoy
498,catelyn stark
499,rodrick cassel
500,robb stark
501,theon greyjoy
502,maester luwin
503,catelyn stark
504,robb stark
505,catelyn stark
506,robb stark
507,catelyn stark
508,rodrick cassel
509,catelyn stark
510,rodrick cassel
511,robb stark
512,catelyn stark
513,doreah
514,daenerys targaryen
515,doreah
516,daenerys targaryen
517,doreah
518,daenerys targaryen
519,doreah
520,daenerys targaryen
521,sansa stark
522,sandor clegane
523,sansa stark
524,sandor clegane
525,joffrey lannister
526,sansa stark
527,joffrey lannister
528,mycah
529,sansa stark
530,arya stark
531,joffrey lannister
532,mycah
533,sansa stark
534,arya stark
535,joffrey lannister
536,mycah
537,joffrey lannister
538,mycah
539,joffrey lannister
540,arya stark
541,sansa stark
542,joffrey lannister
543,sansa stark
544,joffrey lannister
545,arya stark
546,joffrey lannister
547,sansa stark
548,joffrey lannister
549,soldier
550,arya stark
551,soldier
552,soldier
553,soldier
554,arya stark
555,jory cassel
556,eddard stark
557,jory cassel
558,eddard stark
559,jory cassel
560,eddard stark
561,jory cassel
562,eddard stark
563,arya stark
564,eddard stark
565,arya stark
566,eddard stark
567,cersei lannister
568,robert baratheon
569,cersei lannister
570,arya stark
571,cersei lannister
572,arya stark
573,joffrey lannister
574,arya stark
575,joffrey lannister
576,robert baratheon
577,eddard stark
578,cersei lannister
579,robert baratheon
580,sansa stark
581,arya stark
582,eddard stark
583,arya stark
584,eddard stark
585,cersei lannister
586,robert baratheon
587,cersei lannister
588,robert baratheon
589,eddard stark
590,cersei lannister
591,robert baratheon
592,soldier
593,robert baratheon
594,cersei lannister
595,robert baratheon
596,eddard stark
597,robert baratheon
598,sansa stark
599,arya stark
600,sansa stark
601,eddard stark
602,cersei lannister
603,soldier
604,cersei lannister
605,eddard stark
606,cersei lannister
607,eddard stark
608,eddard stark
609,sandor clegane
610,kings landing guard
611,eddard stark
612,jory cassel
613,kings landing guard
614,jaime lannister
615,eddard stark
616,jaime lannister
617,eddard stark
618,jaime lannister
619,eddard stark
620,jaime lannister
621,eddard stark
622,jaime lannister
623,eddard stark
624,jaime lannister
625,eddard stark
626,varys
627,eddard stark
628,varys
629,eddard stark
630,renly baratheon
631,petyr baelish
632,eddard stark
633,petyr baelish
634,eddard stark
635,petyr baelish
636,grand maester pycelle
637,eddard stark
638,grand maester pycelle
639,eddard stark
640,grand maester pycelle
641,eddard stark
642,renly baratheon
643,varys
644,petyr baelish
645,renly baratheon
646,petyr baelish
647,eddard stark
648,grand maester pycelle
649,petyr baelish
650,eddard stark
651,petyr baelish
652,eddard stark
653,petyr baelish
654,eddard stark
655,grand maester pycelle
656,renly baratheon
657,eddard stark
658,petyr baelish
659,eddard stark
660,varys
661,cersei lannister
662,joffrey lannister
663,cersei lannister
664,joffrey lannister
665,cersei lannister
666,joffrey lannister
667,cersei lannister
668,joffrey lannister
669,cersei lannister
670,joffrey lannister
671,cersei lannister
672,joffrey lannister
673,cersei lannister
674,joffrey lannister
675,cersei lannister
676,joffrey lannister
677,cersei lannister
678,joffrey lannister
679,cersei lannister
680,joffrey lannister
681,cersei lannister
682,joffrey lannister
683,cersei lannister
684,septa mordane
685,arya stark
686,sansa stark
687,arya stark
688,septa mordane
689,arya stark
690,sansa stark
691,arya stark
692,sansa stark
693,arya stark
694,septa mordane
695,eddard stark
696,septa mordane
697,eddard stark
698,eddard stark
699,sansa stark
700,septa mordane
701,eddard stark
702,eddard stark
703,arya stark
704,eddard stark
705,arya stark
706,eddard stark
707,arya stark
708,eddard stark
709,arya stark
710,eddard stark
711,arya stark
712,eddard stark
713,arya stark
714,eddard stark
715,arya stark
716,eddard stark
717,arya stark
718,eddard stark
719,arya stark
720,eddard stark
721,arya stark
722,eddard stark
723,arya stark
724,eddard stark
725,arya stark
726,eddard stark
727,old nan
728,bran stark
729,old nan
730,bran stark
731,old nan
732,robb stark
733,old nan
734,robb stark
735,bran stark
736,robb stark
737,bran stark
738,robb stark
739,bran stark
740,rodrick cassel
741,catelyn stark
742,rodrick cassel
743,guard
744,catelyn stark
745,guard
746,catelyn stark
747,guard
748,petyr baelish
749,catelyn stark
750,petyr baelish
751,catelyn stark
752,petyr baelish
753,catelyn stark
754,petyr baelish
755,varys
756,catelyn stark
757,varys
758,catelyn stark
759,varys
760,catelyn stark
761,varys
762,petyr baelish
763,catelyn stark
764,petyr baelish
765,catelyn stark
766,petyr baelish
767,alliser thorne
768,alliser thorne
769,alliser thorne
770,tyrion lannister
771,jeor mormont
772,tyrion lannister
773,jeor mormont
774,tyrion lannister
775,jeor mormont
776,grand maester pycelle
777,petyr baelish
778,eddard stark
779,petyr baelish
780,petyr baelish
781,eddard stark
782,catelyn stark
783,petyr baelish
784,grenn
785,jon snow
786,grenn
787,pyp
788,grenn
789,tyrion lannister
790,rast
791,tyrion lannister
792,grenn
793,jon snow
794,tyrion lannister
795,jon snow
796,tyrion lannister
797,petyr baelish
798,catelyn stark
799,petyr baelish
800,catelyn stark
801,petyr baelish
802,catelyn stark
803,petyr baelish
804,cersei lannister
805,jaime lannister
806,cersei lannister
807,jaime lannister
808,cersei lannister
809,jaime lannister
810,cersei lannister
811,jaime lannister
812,cersei lannister
813,jaime lannister
814,cersei lannister
815,jaime lannister
816,jaime lannister
817,catelyn stark
818,eddard stark
819,catelyn stark
820,eddard stark
821,catelyn stark
822,eddard stark
823,cersei lannister
824,eddard stark
825,catelyn stark
826,eddard stark
827,catelyn stark
828,eddard stark
829,robert baratheon
830,barristan selmy
831,robert baratheon
832,barristan selmy
833,robert baratheon
834,barristan selmy
835,robert baratheon
836,lancel lannister
837,robert baratheon
838,lancel lannister
839,robert baratheon
840,jaime lannister
841,barristan selmy
842,jaime lannister
843,barristan selmy
844,robert baratheon
845,jaime lannister
846,robert baratheon
847,jaime lannister
848,jorah mormont
849,daenerys targaryen
850,jorah mormont
851,daenerys targaryen
852,jorah mormont
853,daenerys targaryen
854,jorah mormont
855,daenerys targaryen
856,viserys targaryen
857,irri
858,daenerys targaryen
859,irri
860,daenerys targaryen
861,viserys targaryen
862,jorah mormont
863,rakharo
864,benjen stark
865,jon snow
866,benjen stark
867,jon snow
868,benjen stark
869,jon snow
870,benjen stark
871,jon snow
872,benjen stark
873,yoren
874,tyrion lannister
875,yoren
876,tyrion lannister
877,yoren
878,tyrion lannister
879,yoren
880,tyrion lannister
881,benjen stark
882,tyrion lannister
883,benjen stark
884,tyrion lannister
885,benjen stark
886,tyrion lannister
887,benjen stark
888,tyrion lannister
889,benjen stark
890,yoren
891,benjen stark
892,yoren
893,tyrion lannister
894,yoren
895,tyrion lannister
896,yoren
897,tyrion lannister
898,yoren
899,tyrion lannister
900,irri
901,daenerys targaryen
902,irri
903,jorah mormont
904,rakharo
905,jorah mormont
906,rakharo
907,jorah mormont
908,rakharo
909,jorah mormont
910,rakharo
911,jorah mormont
912,rakharo
913,jorah mormont
914,irri
915,rakharo
916,irri
917,rakharo
918,irri
919,jorah mormont
920,irri
921,rakharo
922,irri
923,jorah mormont
924,rhakaro
925,jorah mormont
926,jon snow
927,maester aemon
928,tyrion lannister
929,maester aemon
930,tyrion lannister
931,maester aemon
932,jeor mormont
933,tyrion lannister
934,jeor mormont
935,maester aemon
936,jeor mormont
937,maester aemon
938,daenerys targaryen
939,khal drogo
940,daenerys targaryen
941,jon snow
942,tyrion lannister
943,jon snow
944,tyrion lannister
945,jon snow
946,tyrion lannister
947,jon snow
948,tyrion lannister
949,jon snow
950,syrio forel
951,arya stark
952,syrio forel
953,syrio forel
954,arya stark
955,syrio forel
956,arya stark
957,syrio forel
958,arya stark
959,syrio forel
960,arya stark
961,syrio forel
962,syrio forel
963,old nan
964,theon greyjoy
965,bran stark
966,theon greyjoy
967,bran stark
968,theon greyjoy
969,tyrion lannister
970,robb stark
971,tyrion lannister
972,robb stark
973,tyrion lannister
974,tyrion lannister
975,maester luwin
976,tyrion lannister
977,robb stark
978,tyrion lannister
979,bran stark
980,tyrion lannister
981,bran stark
982,maester luwin
983,tyrion lannister
984,bran stark
985,tyrion lannister
986,bran stark
987,tyrion lannister
988,robb stark
989,tyrion lannister
990,robb stark
991,tyrion lannister
992,theon greyjoy
993,tyrion lannister
994,theon greyjoy
995,tyrion lannister
996,theon greyjoy
997,tyrion lannister
998,theon greyjoy
999,tyrion lannister
1000,theon greyjoy
1001,tyrion lannister
1002,theon greyjoy
1003,tyrion lannister
1004,theon greyjoy
1005,tyrion lannister
1006,jon snow
1007,grenn
1008,pyp
1009,alliser thorne
1010,sam tarly
1011,rast
1012,alliser thorne
1013,sam tarly
1014,alliser thorne
1015,jon snow
1016,alliser thorne
1017,jon snow
1018,grenn
1019,alliser thorne
1020,pyp
1021,grenn
1022,sam tarly
1023,jon snow
1024,sam tarly
1025,jon snow
1026,grenn
1027,sam tarly
1028,grenn
1029,sam tarly
1030,jon snow
1031,sam tarly
1032,grenn
1033,pyp
1034,grenn
1035,pyp
1036,grenn
1037,jorah mormont
1038,viserys targaryen
1039,daenerys targaryen
1040,viserys targaryen
1041,daenerys targaryen
1042,jorah mormont
1043,daenerys targaryen
1044,jorah mormont
1045,daenerys targaryen
1046,jorah mormont
1047,daenerys targaryen
1048,jorah mormont
1049,daenerys targaryen
1050,jorah mormont
1051,daenerys targaryen
1052,jorah mormont
1053,doreah
1054,viserys targaryen
1055,doreah
1056,viserys targaryen
1057,doreah
1058,viserys targaryen
1059,doreah
1060,viserys targaryen
1061,doreah
1062,viserys targaryen
1063,doreah
1064,viserys targaryen
1065,doreah
1066,viserys targaryen
1067,doreah
1068,viserys targaryen
1069,doreah
1070,viserys targaryen
1071,doreah
1072,viserys targaryen
1073,doreah
1074,viserys targaryen
1075,doreah
1076,viserys targaryen
1077,septa mordane
1078,sansa stark
1079,septa mordane
1080,sansa stark
1081,septa mordane
1082,sansa stark
1083,septa mordane
1084,sansa stark
1085,septa mordane
1086,sansa stark
1087,septa mordane
1088,sansa stark
1089,septa mordane
1090,sansa stark
1091,septa mordane
1092,sansa stark
1093,septa mordane
1094,sansa stark
1095,septa mordane
1096,sansa stark
1097,septa mordane
1098,sansa stark
1099,septa mordane
1100,sansa stark
1101,septa mordane
1102,sansa stark
1103,septa mordane
1104,sansa stark
1105,janos slynt
1106,eddard stark
1107,janos slynt
1108,varys
1109,renly baratheon
1110,janos slynt
1111,eddard stark
1112,petyr baelish
1113,eddard stark
1114,janos slynt
1115,eddard stark
1116,varys
1117,petyr baelish
1118,eddard stark
1119,grand maester pycelle
1120,eddard stark
1121,grand maester pycelle
1122,eddard stark
1123,grand maester pycelle
1124,eddard stark
1125,grand maester pycelle
1126,eddard stark
1127,grand maester pycelle
1128,eddard stark
1129,grand maester pycelle
1130,eddard stark
1131,grand maester pycelle
1132,eddard stark
1133,grand maester pycelle
1134,eddard stark
1135,grand maester pycelle
1136,eddard stark
1137,grand maester pycelle
1138,eddard stark
1139,grand maester pycelle
1140,eddard stark
1141,grand maester pycelle
1142,eddard stark
1143,grand maester pycelle
1144,eddard stark
1145,grand maester pycelle
1146,eddard stark
1147,grand maester pycelle
1148,eddard stark
1149,grand maester pycelle
1150,eddard stark
1151,arya stark
1152,eddard stark
1153,arya stark
1154,eddard stark
1155,arya stark
1156,eddard stark
1157,arya stark
1158,eddard stark
1159,arya stark
1160,eddard stark
1161,arya stark
1162,eddard stark
1163,arya stark
1164,sam tarly
1165,jon snow
1166,sam tarly
1167,jon snow
1168,sam tarly
1169,jon snow
1170,sam tarly
1171,jon snow
1172,sam tarly
1173,jon snow
1174,petyr baelish
1175,eddard stark
1176,petyr baelish
1177,eddard stark
1178,petyr baelish
1179,eddard stark
1180,petyr baelish
1181,eddard stark
1182,petyr baelish
1183,eddard stark
1184,petyr baelish
1185,petyr baelish
1186,eddard stark
1187,petyr baelish
1188,jory cassel
1189,hugh of vale
1190,jory cassel
1191,hugh of vale
1192,jory cassel
1193,hugh of vale
1194,jory cassel
1195,eddard stark
1196,jory cassel
1197,eddard stark
1198,tobho mott
1199,eddard stark
1200,tobho mott
1201,eddard stark
1202,tobho mott
1203,eddard stark
1204,gendry baratheon
1205,tobho mott
1206,gendry baratheon
1207,tobho mott
1208,eddard stark
1209,gendry baratheon
1210,eddard stark
1211,gendry baratheon
1212,eddard stark
1213,gendry baratheon
1214,eddard stark
1215,gendry baratheon
1216,eddard stark
1217,jory cassel
1218,eddard stark
1219,jory cassel
1220,jaime lannister
1221,jory cassel
1222,jaime lannister
1223,jory cassel
1224,jaime lannister
1225,jory cassel
1226,jaime lannister
1227,jory cassel
1228,jaime lannister
1229,jory cassel
1230,jaime lannister
1231,jory cassel
1232,jaime lannister
1233,jory cassel
1234,jaime lannister
1235,jory cassel
1236,jaime lannister
1237,robert baratheon
1238,jory cassel
1239,jaime lannister
1240,grenn
1241,jon snow
1242,pyp
1243,jon snow
1244,pyp
1245,jon snow
1246,rast
1247,jon snow
1248,alliser thorne
1249,grenn
1250,alliser thorne
1251,viserys targaryen
1252,doreah
1253,daenerys targaryen
1254,irri
1255,daenerys targaryen
1256,viserys targaryen
1257,daenerys targaryen
1258,viserys targaryen
1259,daenerys targaryen
1260,viserys targaryen
1261,daenerys targaryen
1262,viserys targaryen
1263,daenerys targaryen
1264,viserys targaryen
1265,daenerys targaryen
1266,viserys targaryen
1267,viserys targaryen
1268,daenerys targaryen
1269,sam tarly
1270,jon snow
1271,sam tarly
1272,jon snow
1273,sam tarly
1274,jon snow
1275,sam tarly
1276,jon snow
1277,sam tarly
1278,jon snow
1279,sam tarly
1280,jon snow
1281,sam tarly
1282,jon snow
1283,sam tarly
1284,jon snow
1285,sam tarly
1286,jon snow
1287,sam tarly
1288,jon snow
1289,sam tarly
1290,jon snow
1291,sam tarly
1292,jon snow
1293,sam tarly
1294,jon snow
1295,sam tarly
1296,alliser thorne
1297,sam tarly
1298,alliser thorne
1299,jon snow
1300,alliser thorne
1301,daenerys targaryen
1302,jorah mormont
1303,daenerys targaryen
1304,jorah mormont
1305,daenerys targaryen
1306,jorah mormont
1307,daenerys targaryen
1308,jorah mormont
1309,daenerys targaryen
1310,petyr baelish
1311,sansa stark
1312,septa mordane
1313,petyr baelish
1314,arya stark
1315,sansa stark
1316,septa mordane
1317,petyr baelish
1318,robert baratheon
1319,sansa stark
1320,petyr baelish
1321,sansa stark
1322,petyr baelish
1323,robert baratheon
1324,petyr baelish
1325,sansa stark
1326,petyr baelish
1327,jory cassel
1328,eddard stark
1329,cersei lannister
1330,eddard stark
1331,cersei lannister
1332,eddard stark
1333,cersei lannister
1334,eddard stark
1335,cersei lannister
1336,eddard stark
1337,cersei lannister
1338,eddard stark
1339,cersei lannister
1340,eddard stark
1341,cersei lannister
1342,marillion
1343,catelyn stark
1344,rodrick cassel
1345,marillion
1346,rodrick cassel
1347,marillion
1348,masha heddle
1349,tyrion lannister
1350,masha heddle
1351,tyrion lannister
1352,bronn
1353,tyrion lannister
1354,yoren
1355,marillion
1356,tyrion lannister
1357,masha heddle
1358,catelyn stark
1359,knight of house whent
1360,catelyn stark
1361,knight of house whent
1362,catelyn stark
1363,knight of house bracken
1364,tyrion lannister
1365,catelyn stark
1366,catelyn stark
1367,eddard stark
1368,barristan selmy
1369,eddard stark
1370,barristan selmy
1371,eddard stark
1372,barristan selmy
1373,eddard stark
1374,barristan selmy
1375,eddard stark
1376,barristan selmy
1377,eddard stark
1378,barristan selmy
1379,eddard stark
1380,barristan selmy
1381,eddard stark
1382,barristan selmy
1383,eddard stark
1384,lancel lannister
1385,robert baratheon
1386,eddard stark
1387,robert baratheon
1388,robert baratheon
1389,lancel lannister
1390,robert baratheon
1391,eddard stark
1392,robert baratheon
1393,eddard stark
1394,robert baratheon
1395,eddard stark
1396,robert baratheon
1397,eddard stark
1398,robert baratheon
1399,eddard stark
1400,robert baratheon
1401,eddard stark
1402,robert baratheon
1403,eddard stark
1404,robert baratheon
1405,eddard stark
1406,robert baratheon
1407,eddard stark
1408,robert baratheon
1409,eddard stark
1410,robert baratheon
1411,eddard stark
1412,sansa stark
1413,sansa stark
1414,sansa stark
1415,eddard stark
1416,sansa stark
1417,petyr baelish
1418,renly baratheon
1419,petyr baelish
1420,renly baratheon
1421,sansa stark
1422,eddard stark
1423,renly baratheon
1424,petyr baelish
1425,petyr baelish
1426,sansa stark
1427,petyr baelish
1428,robert baratheon
1429,loras tyrell
1430,sandor clegane
1431,catelyn stark
1432,marillion
1433,tyrion lannister
1434,catelyn stark
1435,tyrion lannister
1436,catelyn stark
1437,tyrion lannister
1438,catelyn stark
1439,tyrion lannister
1440,catelyn stark
1441,tyrion lannister
1442,catelyn stark
1443,tyrion lannister
1444,catelyn stark
1445,tyrion lannister
1446,rodrik cassel
1447,tyrion lannister
1448,rodrik cassel
1449,tyrion lannister
1450,catelyn stark
1451,rodrik cassel
1452,bronn
1453,tyrion lannister
1454,maester luwin
1455,bran stark
1456,maester luwin
1457,bran stark
1458,theon greyjoy
1459,maester luwin
1460,bran stark
1461,maester luwin
1462,bran stark
1463,bran stark
1464,maester luwin
1465,bran stark
1466,maester luwin
1467,bran stark
1468,maester luwin
1469,bran stark
1470,maester luwin
1471,bran stark
1472,maester luwin
1473,bran stark
1474,maester luwin
1475,bran stark
1476,maester luwin
1477,bran stark
1478,maester luwin
1479,bran stark
1480,maester luwin
1481,bran stark
1482,maester luwin
1483,bran stark
1484,maester luwin
1485,bran stark
1486,maester luwin
1487,bran stark
1488,maester luwin
1489,bran stark
1490,maester luwin
1491,bran stark
1492,maester luwin
1493,bran stark
1494,maester luwin
1495,bran stark
1496,maester luwin
1497,theon greyjoy
1498,ros
1499,theon greyjoy
1500,ros
1501,theon greyjoy
1502,ros
1503,theon greyjoy
1504,theon greyjoy
1505,ros
1506,theon greyjoy
1507,ros
1508,theon greyjoy
1509,ros
1510,theon greyjoy
1511,ros
1512,theon greyjoy
1513,ros
1514,theon greyjoy
1515,ros
1516,theon greyjoy
1517,ros
1518,theon greyjoy
1519,ros
1520,arya stark
1521,varys
1522,eddard stark
1523,varys
1524,eddard stark
1525,varys
1526,varys
1527,eddard stark
1528,varys
1529,eddard stark
1530,varys
1531,eddard stark
1532,varys
1533,eddard stark
1534,varys
1535,eddard stark
1536,varys
1537,eddard stark
1538,varys
1539,eddard stark
1540,varys
1541,varys
1542,illyrio mopatis
1543,varys
1544,illyrio mopatis
1545,varys
1546,illyrio mopatis
1547,varys
1548,illyrio mopatis
1549,varys
1550,petyr baelish
1551,varys
1552,petyr baelish
1553,varys
1554,petyr baelish
1555,varys
1556,petyr baelish
1557,varys
1558,petyr baelish
1559,varys
1560,petyr baelish
1561,varys
1562,petyr baelish
1563,varys
1564,petyr baelish
1565,varys
1566,petyr baelish
1567,varys
1568,petyr baelish
1569,varys
1570,petyr baelish
1571,varys
1572,petyr baelish
1573,varys
1574,petyr baelish
1575,varys
1576,petyr baelish
1577,varys
1578,petyr baelish
1579,renly baratheon
1580,petyr baelish
1581,varys
1582,guard
1583,arya stark
1584,guard
1585,arya stark
1586,guard
1587,guard
1588,arya stark
1589,eddard stark
1590,arya stark
1591,eddard stark
1592,arya stark
1593,eddard stark
1594,arya stark
1595,eddard stark
1596,arya stark
1597,eddard stark
1598,arya stark
1599,jory cassel
1600,eddard stark
1601,yoren
1602,arya stark
1603,eddard stark
1604,yoren
1605,eddard stark
1606,yoren
1607,eddard stark
1608,yoren
1609,eddard stark
1610,eddard stark
1611,jory cassel
1612,arya stark
1613,jory cassel
1614,arya stark
1615,jory cassel
1616,eddard stark
1617,yoren
1618,vardis egen
1619,catelyn stark
1620,vardis egen
1621,catelyn stark
1622,vardis egen
1623,catelyn stark
1624,vardis egen
1625,catelyn stark
1626,vardis egen
1627,tyrion lannister
1628,bronn
1629,tyrion lannister
1630,steward
1631,eddard stark
1632,steward
1633,eddard stark
1634,steward
1635,robert baratheon
1636,eddard stark
